date,,,,,,,new_cases
3/2/2020,,,,,,,2
3/3/2020,,,,,,,0
3/4/2020,,,,,,,0
3/5/2020,,,,,,,0
3/6/2020,,,,,,,2
3/7/2020,,,,,,,0
3/8/2020,,,,,,,2
3/9/2020,,,,,,,13
3/10/2020,,,,,,,8
3/11/2020,,,,,,,7
3/12/2020,,,,,,,0
3/13/2020,,,,,,,35
3/14/2020,,,,,,,27
3/15/2020,,,,,,,21
3/16/2020,,,,,,,17
3/17/2020,,,,,,,38
3/18/2020,,,,,,,55
3/19/2020,,,,,,,84
3/20/2020,,,,,,,58
3/21/2020,,,,,,,81
3/22/2020,,,,,,,64
3/23/2020,,,,,,,65
3/24/2020,,,,,,,107
3/25/2020,,,,,,,104
3/26/2020,,,,,,,103
3/27/2020,,,,,,,153
3/28/2020,,,,,,,109
3/29/2020,,,,,,,130
3/30/2020,,,,,,,129
3/31/2020,,,,,,,114
4/1/2020,,,,,,,149
4/2/2020,,,,,,,113
4/3/2020,,,,,,,196
4/4/2020,,,,,,,106
4/5/2020,,,,,,,181
4/6/2020,,,,,,,218
4/7/2020,,,,,,,247
4/8/2020,,,,,,,218
4/9/2020,,,,,,,337
4/10/2020,,,,,,,219
4/11/2020,,,,,,,330
4/12/2020,,,,,,,399
4/13/2020,,,,,,,316
4/14/2020,,,,,,,282
4/15/2020,,,,,,,297
4/16/2020,,,,,,,380
4/17/2020,,,,,,,407
4/18/2020,,,,,,,325
4/19/2020,,,,,,,327
4/20/2020,,,,,,,185
4/21/2020,,,,,,,375
4/22/2020,,,,,,,283
4/23/2020,,,,,,,357
4/24/2020,,,,,,,436
4/25/2020,,,,,,,396
4/26/2020,,,,,,,275
4/27/2020,,,,,,,214
4/28/2020,,,,,,,415
4/29/2020,,,,,,,260
4/30/2020,,,,,,,347
5/1/2020,,,,,,,433
5/2/2020,,,,,,,292
5/3/2020,,,,,,,349
5/4/2020,,,,,,,395
5/5/2020,,,,,,,484
5/6/2020,,,,,,,367
5/7/2020,,,,,,,338
5/8/2020,,,,,,,336
5/9/2020,,,,,,,533
5/10/2020,,,,,,,387
5/11/2020,,,,,,,233
5/12/2020,,,,,,,484
5/13/2020,,,,,,,689
5/14/2020,,,,,,,568
5/15/2020,,,,,,,490
5/16/2020,,,,,,,529
5/17/2020,,,,,,,489
5/18/2020,,,,,,,496
5/19/2020,,,,,,,486
5/20/2020,,,,,,,693
5/21/2020,,,,,,,973
5/22/2020,,,,,,,634
5/23/2020,,,,,,,949
5/24/2020,,,,,,,526
5/25/2020,,,,,,,479
5/26/2020,,,,,,,415
5/27/2020,,,,,,,686
5/28/2020,,,,,,,687
5/29/2020,,,,,,,678
5/30/2020,,,,,,,557
5/31/2020,,,,,,,700
6/1/2020,,,,,,,467
6/2/2020,,,,,,,609
6/3/2020,,,,,,,684
6/4/2020,,,,,,,585
6/5/2020,,,,,,,703
6/6/2020,,,,,,,993
6/7/2020,,,,,,,672
6/8/2020,,,,,,,847
6/9/2020,,,,,,,1043
6/10/2020,,,,,,,1240
6/11/2020,,,,,,,979
6/12/2020,,,,,,,1111
6/13/2020,,,,,,,1014
6/14/2020,,,,,,,857
6/15/2020,,,,,,,1017
6/16/2020,,,,,,,1106
6/17/2020,,,,,,,1031
6/18/2020,,,,,,,1331
6/19/2020,,,,,,,1041
6/20/2020,,,,,,,1226
6/21/2020,,,,,,,862
6/22/2020,,,,,,,954
6/23/2020,,,,,,,1051
6/24/2020,,,,,,,1113
6/25/2020,,,,,,,1178
6/26/2020,,,,,,,1240
6/27/2020,,,,,,,1385
6/28/2020,,,,,,,1198
6/29/2020,,,,,,,1082
6/30/2020,,,,,,,1293
7/1/2020,,,,,,,1385
7/2/2020,,,,,,,1624
7/3/2020,,,,,,,1301
7/4/2020,,,,,,,1447
7/5/2020,,,,,,,1607
7/6/2020,,,,,,,1209
7/7/2020,,,,,,,1268
7/8/2020,,,,,,,1853
7/9/2020,,,,,,,2657
7/10/2020,,,,,,,1611
7/11/2020,,,,,,,1671
7/12/2020,,,,,,,1681
7/13/2020,,,,,,,1282
7/14/2020,,,,,,,1591
7/15/2020,,,,,,,1522
7/16/2020,,,,,,,1574
7/17/2020,,,,,,,1462
7/18/2020,,,,,,,1752
7/19/2020,,,,,,,1639
7/20/2020,,,,,,,1693
7/21/2020,,,,,,,1655
7/22/2020,,,,,,,1882
7/23/2020,,,,,,,1906
7/24/2020,,,,,,,1761
7/25/2020,,,,,,,1868
7/26/2020,,,,,,,1492
7/27/2020,,,,,,,1525
7/28/2020,,,,,,,1748
7/29/2020,,,,,,,2381
7/30/2020,,,,,,,1904
7/31/2020,,,,,,,2040
8/1/2020,,,,,,,1560
8/2/2020,,,,,,,1519
8/3/2020,,,,,,,1679
8/4/2020,,,,,,,1922
8/5/2020,,,,,,,1815
8/6/2020,,,,,,,1882
8/7/2020,,,,,,,2473
8/8/2020,,,,,,,2277
8/9/2020,,,,,,,1893
8/10/2020,,,,,,,1687
8/11/2020,,,,,,,1693
8/12/2020,,,,,,,1942
8/13/2020,,,,,,,2098
8/14/2020,,,,,,,2307
8/15/2020,,,,,,,2345
8/16/2020,,,,,,,2081
8/17/2020,,,,,,,1821
8/18/2020,,,,,,,1673
8/19/2020,,,,,,,1902
8/20/2020,,,,,,,2266
8/21/2020,,,,,,,2197
8/22/2020,,,,,,,2090
8/23/2020,,,,,,,2037
8/24/2020,,,,,,,1877
8/25/2020,,,,,,,2447
8/26/2020,,,,,,,2306
8/27/2020,,,,,,,2719
8/28/2020,,,,,,,3003
8/29/2020,,,,,,,3308
8/30/2020,,,,,,,2858
8/31/2020,,,,,,,2743
9/1/2020,,,,,,,2775
9/2/2020,,,,,,,3075
9/3/2020,,,,,,,3622
9/4/2020,,,,,,,3269
9/5/2020,,,,,,,3128
9/6/2020,,,,,,,3444
9/7/2020,,,,,,,2880
9/8/2020,,,,,,,3046
9/9/2020,,,,,,,3307
9/10/2020,,,,,,,3861
9/11/2020,,,,,,,3737
9/12/2020,,,,,,,3806
9/13/2020,,,,,,,3636
9/14/2020,,,,,,,3141
9/15/2020,,,,,,,3507
9/16/2020,,,,,,,3963
9/17/2020,,,,,,,3635
9/18/2020,,,,,,,3891
9/19/2020,,,,,,,4168
9/20/2020,,,,,,,3989
9/21/2020,,,,,,,4176
9/22/2020,,,,,,,4071
9/23/2020,,,,,,,4465
9/24/2020,,,,,,,4634
9/25/2020,,,,,,,4823
9/26/2020,,,,,,,4494
9/27/2020,,,,,,,3874
9/28/2020,,,,,,,3509
9/29/2020,,,,,,,4002
9/30/2020,,,,,,,4284
10/1/2020,,,,,,,4174
10/2/2020,,,,,,,4317
10/3/2020,,,,,,,4007
10/4/2020,,,,,,,3992
10/5/2020,,,,,,,3622
10/6/2020,,,,,,,4056
10/7/2020,,,,,,,4538
10/8/2020,,,,,,,4850
10/9/2020,,,,,,,4094
10/10/2020,,,,,,,4294
10/11/2020,,,,,,,4497
10/12/2020,,,,,,,3267
10/13/2020,,,,,,,3906
10/14/2020,,,,,,,4127
10/15/2020,,,,,,,4411
10/16/2020,,,,,,,4301
10/17/2020,,,,,,,4301
10/18/2020,,,,,,,4105
10/19/2020,,,,,,,3373
10/20/2020,,,,,,,3602
10/21/2020,,,,,,,4267
10/22/2020,,,,,,,4432
10/23/2020,,,,,,,4369
10/24/2020,,,,,,,4070
10/25/2020,,,,,,,3732
10/26/2020,,,,,,,3222
10/27/2020,,,,,,,3520
10/28/2020,,,,,,,4029
10/29/2020,,,,,,,3565
10/30/2020,,,,,,,2897
10/31/2020,,,,,,,3143
11/1/2020,,,,,,,2696
11/2/2020,,,,,,,2618
11/3/2020,,,,,,,2973
11/4/2020,,,,,,,3356
11/5/2020,,,,,,,4065
11/6/2020,,,,,,,3778
11/7/2020,,,,,,,4262
11/8/2020,,,,,,,3880
11/9/2020,,,,,,,2853
11/10/2020,,,,,,,3779
11/11/2020,,,,,,,3770
11/12/2020,,,,,,,4173
11/13/2020,,,,,,,5444
11/14/2020,,,,,,,5272
11/15/2020,,,,,,,4106
11/16/2020,,,,,,,3535
11/17/2020,,,,,,,3807
11/18/2020,,,,,,,4265
11/19/2020,,,,,,,4798
11/20/2020,,,,,,,4792
11/21/2020,,,,,,,4998
11/22/2020,,,,,,,4360
11/23/2020,,,,,,,4442
11/24/2020,,,,,,,4192
11/25/2020,,,,,,,5534
11/26/2020,,,,,,,4917
11/27/2020,,,,,,,5828
11/28/2020,,,,,,,5418
11/29/2020,,,,,,,6267
11/30/2020,,,,,,,4617
12/1/2020,,,,,,,5092
12/2/2020,,,,,,,5533
12/3/2020,,,,,,,8369
12/4/2020,,,,,,,5803
12/5/2020,,,,,,,6027
12/6/2020,,,,,,,6089
12/7/2020,,,,,,,5754
12/8/2020,,,,,,,5292
12/9/2020,,,,,,,6058
12/10/2020,,,,,,,6033
12/11/2020,,,,,,,6310
12/12/2020,,,,,,,6388
12/13/2020,,,,,,,6189
12/14/2020,,,,,,,5489
12/15/2020,,,,,,,6120
12/16/2020,,,,,,,6725
12/17/2020,,,,,,,7354
12/18/2020,,,,,,,6689
12/19/2020,,,,,,,7751
12/20/2020,,,,,,,6982
12/21/2020,,,,,,,6848
12/22/2020,,,,,,,6347
12/23/2020,,,,,,,7514
12/24/2020,,,,,,,7199
12/25/2020,,,,,,,7259
12/26/2020,,,,,,,6740
12/27/2020,,,,,,,6528
12/28/2020,,,,,,,5854
12/29/2020,,,,,,,7903
12/30/2020,,,,,,,8002
12/31/2020,,,,,,,8074
1/1/2021,,,,,,,8072
1/2/2021,,,,,,,7203
1/3/2021,,,,,,,6877
1/4/2021,,,,,,,6753
1/5/2021,,,,,,,7445
1/6/2021,,,,,,,8854
1/7/2021,,,,,,,9321
1/8/2021,,,,,,,10617
1/9/2021,,,,,,,10046
1/10/2021,,,,,,,9640
1/11/2021,,,,,,,8692
1/12/2021,,,,,,,10047
1/13/2021,,,,,,,11278
1/14/2021,,,,,,,11557
1/15/2021,,,,,,,12818
1/16/2021,,,,,,,14224
1/17/2021,,,,,,,11287
1/18/2021,,,,,,,9086
1/19/2021,,,,,,,10365
1/20/2021,,,,,,,12568
1/21/2021,,,,,,,11703
1/22/2021,,,,,,,13632
1/23/2021,,,,,,,12191
1/24/2021,,,,,,,11788
1/25/2021,,,,,,,9994
1/26/2021,,,,,,,13094
1/27/2021,,,,,,,11948
1/28/2021,,,,,,,13695
1/29/2021,,,,,,,13802
1/30/2021,,,,,,,14518
1/31/2021,,,,,,,12001
2/1/2021,,,,,,,10994
2/2/2021,,,,,,,10379
2/3/2021,,,,,,,11984
2/4/2021,,,,,,,11434
2/5/2021,,,,,,,11749
2/6/2021,,,,,,,12156
2/7/2021,,,,,,,10827
2/8/2021,,,,,,,8242
2/9/2021,,,,,,,8700
2/10/2021,,,,,,,8776
2/11/2021,,,,,,,8435
2/12/2021,,,,,,,9869
2/13/2021,,,,,,,8844
2/14/2021,,,,,,,6765
2/15/2021,,,,,,,6462
2/16/2021,,,,,,,10029
2/17/2021,,,,,,,9687
2/18/2021,,,,,,,9039
2/19/2021,,,,,,,10614
2/20/2021,,,,,,,8054
2/21/2021,,,,,,,7300
2/22/2021,,,,,,,10180
2/23/2021,,,,,,,9775
2/24/2021,,,,,,,7533
2/25/2021,,,,,,,8493
2/26/2021,,,,,,,8232
2/27/2021,,,,,,,6208
2/28/2021,,,,,,,5560
3/1/2021,,,,,,,6680
3/2/2021,,,,,,,5712
3/3/2021,,,,,,,6808
3/4/2021,,,,,,,7264
3/5/2021,,,,,,,6971
3/6/2021,,,,,,,5767
3/7/2021,,,,,,,5826
3/8/2021,,,,,,,6894
3/9/2021,,,,,,,6389
3/10/2021,,,,,,,5633
3/11/2021,,,,,,,5144
3/12/2021,,,,,,,6412
3/13/2021,,,,,,,4607
3/14/2021,,,,,,,4714
3/15/2021,,,,,,,5589
3/16/2021,,,,,,,5414
3/17/2021,,,,,,,6825
3/18/2021,,,,,,,6570
3/19/2021,,,,,,,6279
3/20/2021,,,,,,,5656
3/21/2021,,,,,,,4396
3/22/2021,,,,,,,5744
3/23/2021,,,,,,,5297
3/24/2021,,,,,,,5227
3/25/2021,,,,,,,6107
3/26/2021,,,,,,,4982
3/27/2021,,,,,,,4461
3/28/2021,,,,,,,4083
3/29/2021,,,,,,,5008
3/30/2021,,,,,,,4682
3/31/2021,,,,,,,5937
4/1/2021,,,,,,,6142
4/2/2021,,,,,,,5325
4/3/2021,,,,,,,4345
4/4/2021,,,,,,,6731
4/5/2021,,,,,,,3712
4/6/2021,,,,,,,4549
4/7/2021,,,,,,,4860
4/8/2021,,,,,,,5504
4/9/2021,,,,,,,5265
4/10/2021,,,,,,,4723
4/11/2021,,,,,,,4127
4/12/2021,,,,,,,4829
4/13/2021,,,,,,,5702
4/14/2021,,,,,,,5656
4/15/2021,,,,,,,6177
4/16/2021,,,,,,,5363
4/17/2021,,,,,,,5041
4/18/2021,,,,,,,4585
4/19/2021,,,,,,,4952
4/20/2021,,,,,,,5549
4/21/2021,,,,,,,5720
4/22/2021,,,,,,,6243
4/23/2021,,,,,,,5436
4/24/2021,,,,,,,4544
4/25/2021,,,,,,,4402
4/26/2021,,,,,,,5944
4/27/2021,,,,,,,4656
4/28/2021,,,,,,,5241
4/29/2021,,,,,,,5833
4/30/2021,,,,,,,5500
5/1/2021,,,,,,,4512
5/2/2021,,,,,,,4394
5/3/2021,,,,,,,4730
5/4/2021,,,,,,,4369
5/5/2021,,,,,,,5285
5/6/2021,,,,,,,5647
5/7/2021,,,,,,,6327
5/8/2021,,,,,,,6130
5/9/2021,,,,,,,3922
5/10/2021,,,,,,,4891
5/11/2021,,,,,,,5021
5/12/2021,,,,,,,4608
5/13/2021,,,,,,,3448
5/14/2021,,,,,,,2633
5/15/2021,,,,,,,2385
5/16/2021,,,,,,,3080
5/17/2021,,,,,,,4295
5/18/2021,,,,,,,4185
5/19/2021,,,,,,,4871
5/20/2021,,,,,,,5797
5/21/2021,,,,,,,5746
5/22/2021,,,,,,,5296
5/23/2021,,,,,,,5280
5/24/2021,,,,,,,5907
5/25/2021,,,,,,,5060
5/26/2021,,,,,,,5034
5/27/2021,,,,,,,6278
5/28/2021,,,,,,,5862
5/29/2021,,,,,,,6565
5/30/2021,,,,,,,6115
5/31/2021,,,,,,,5662
6/1/2021,,,,,,,4824
6/2/2021,,,,,,,5246
6/3/2021,,,,,,,5353
6/4/2021,,,,,,,6486
6/5/2021,,,,,,,6594
6/6/2021,,,,,,,5832
6/7/2021,,,,,,,6993
6/8/2021,,,,,,,6294
6/9/2021,,,,,,,7725
6/10/2021,,,,,,,8892
6/11/2021,,,,,,,8083
6/12/2021,,,,,,,7465
6/13/2021,,,,,,,9868
6/14/2021,,,,,,,8189
6/15/2021,,,,,,,8161
6/16/2021,,,,,,,9944
6/17/2021,,,,,,,12624
6/18/2021,,,,,,,12990
6/19/2021,,,,,,,12906
6/20/2021,,,,,,,13737
6/21/2021,,,,,,,14536
6/22/2021,,,,,,,13668
6/23/2021,,,,,,,15308
6/24/2021,,,,,,,20574
6/25/2021,,,,,,,18872
6/26/2021,,,,,,,21095
6/27/2021,,,,,,,21342
6/28/2021,,,,,,,20694
6/29/2021,,,,,,,20467
6/30/2021,,,,,,,21807
7/1/2021,,,,,,,24836
7/2/2021,,,,,,,25830
7/3/2021,,,,,,,27913
7/4/2021,,,,,,,27233
7/5/2021,,,,,,,29745
7/6/2021,,,,,,,31189
7/7/2021,,,,,,,34379
7/8/2021,,,,,,,38391
7/9/2021,,,,,,,38124
7/10/2021,,,,,,,35094
7/11/2021,,,,,,,36197
7/12/2021,,,,,,,40427
7/13/2021,,,,,,,47899
7/14/2021,,,,,,,54517
7/15/2021,,,,,,,56757
7/16/2021,,,,,,,54000
7/17/2021,,,,,,,51952
7/18/2021,,,,,,,44721
7/19/2021,,,,,,,34257
7/20/2021,,,,,,,38325
7/21/2021,,,,,,,33772
7/22/2021,,,,,,,49509
7/23/2021,,,,,,,49071
7/24/2021,,,,,,,45416
7/25/2021,,,,,,,38679
7/26/2021,,,,,,,28228
7/27/2021,,,,,,,45203
7/28/2021,,,,,,,47791
7/29/2021,,,,,,,43479
7/30/2021,,,,,,,41168
7/31/2021,,,,,,,37284
8/1/2021,,,,,,,30738
8/2/2021,,,,,,,22404
8/3/2021,,,,,,,33900
8/4/2021,,,,,,,35867
8/5/2021,,,,,,,35764
8/6/2021,,,,,,,39532
8/7/2021,,,,,,,31753
8/8/2021,,,,,,,26415
8/9/2021,,,,,,,20709
8/10/2021,,,,,,,32081
8/11/2021,,,,,,,30625
8/12/2021,,,,,,,24709
8/13/2021,,,,,,,30788
8/14/2021,,,,,,,28598
8/15/2021,,,,,,,20813
8/16/2021,,,,,,,17384
8/17/2021,,,,,,,20741
8/18/2021,,,,,,,15768
8/19/2021,,,,,,,22053
8/20/2021,,,,,,,20004
8/21/2021,,,,,,,16744
8/22/2021,,,,,,,12408
8/23/2021,,,,,,,9604
8/24/2021,,,,,,,19106
8/25/2021,,,,,,,18671
8/26/2021,,,,,,,16899
8/27/2021,,,,,,,12618
8/28/2021,,,,,,,10050
8/29/2021,,,,,,,7427
8/30/2021,,,,,,,5436
8/31/2021,,,,,,,10534
9/1/2021,,,,,,,10337
9/2/2021,,,,,,,0
9/3/2021,,,,,,,16752
9/4/2021,,,,,,,6727
9/5/2021,,,,,,,5403
9/6/2021,,,,,,,4413
9/7/2021,,,,,,,7201
9/8/2021,,,,,,,6731
9/9/2021,,,,,,,5990
9/10/2021,,,,,,,5376
9/11/2021,,,,,,,5001
9/12/2021,,,,,,,3779
9/13/2021,,,,,,,2577
9/14/2021,,,,,,,4128
9/15/2021,,,,,,,3948
9/16/2021,,,,,,,3145
9/17/2021,,,,,,,3835
9/18/2021,,,,,,,3385
9/19/2021,,,,,,,2234
9/20/2021,,,,,,,1932
9/21/2021,,,,,,,3263
9/22/2021,,,,,,,2720
9/23/2021,,,,,,,2881
9/24/2021,,,,,,,2557
9/25/2021,,,,,,,2137
9/26/2021,,,,,,,1760
9/27/2021,,,,,,,1390
9/28/2021,,,,,,,2057
9/29/2021,,,,,,,1954
9/30/2021,,,,,,,1690
10/1/2021,,,,,,,1624
10/2/2021,,,,,,,1414
10/3/2021,,,,,,,1142
10/4/2021,,,,,,,922
10/5/2021,,,,,,,1404
10/6/2021,,,,,,,1484
10/7/2021,,,,,,,1393
10/8/2021,,,,,,,1384
10/9/2021,,,,,,,1167
10/10/2021,,,,,,,894
10/11/2021,,,,,,,620
10/12/2021,,,,,,,1261
10/13/2021,,,,,,,1233
10/14/2021,,,,,,,1053
10/15/2021,,,,,,,915
10/16/2021,,,,,,,997
10/17/2021,,,,,,,747
10/18/2021,,,,,,,626
10/19/2021,,,,,,,903
10/20/2021,,,,,,,914
10/21/2021,,,,,,,633
10/22/2021,,,,,,,760
10/23/2021,,,,,,,802
10/24/2021,,,,,,,623
10/25/2021,,,,,,,460
10/26/2021,,,,,,,611
10/27/2021,,,,,,,719
10/28/2021,,,,,,,723
10/29/2021,,,,,,,683
10/30/2021,,,,,,,620
10/31/2021,,,,,,,523
11/1/2021,,,,,,,403
11/2/2021,,,,,,,612
11/3/2021,,,,,,,801
11/4/2021,,,,,,,628
11/5/2021,,,,,,,518
11/6/2021,,,,,,,401
11/7/2021,,,,,,,444
11/8/2021,,,,,,,244
11/9/2021,,,,,,,434
11/10/2021,,,,,,,480
11/11/2021,,,,,,,435
11/12/2021,,,,,,,399
11/13/2021,,,,,,,359
11/14/2021,,,,,,,339
11/15/2021,,,,,,,221
11/16/2021,,,,,,,347
11/17/2021,,,,,,,522
11/18/2021,,,,,,,400
11/19/2021,,,,,,,360
11/20/2021,,,,,,,393
11/21/2021,,,,,,,314
11/22/2021,,,,,,,186
11/23/2021,,,,,,,394
11/24/2021,,,,,,,451
11/25/2021,,,,,,,372
11/26/2021,,,,,,,453
11/27/2021,,,,,,,404
11/28/2021,,,,,,,264
11/29/2021,,,,,,,176
11/30/2021,,,,,,,297
12/1/2021,,,,,,,278
12/2/2021,,,,,,,311
12/3/2021,,,,,,,245
12/4/2021,,,,,,,246
12/5/2021,,,,,,,196
12/6/2021,,,,,,,130
12/7/2021,,,,,,,261
12/8/2021,,,,,,,264
12/9/2021,,,,,,,220
12/10/2021,,,,,,,192
12/11/2021,,,,,,,228
12/12/2021,,,,,,,163
12/13/2021,,,,,,,106
12/14/2021,,,,,,,190
12/15/2021,,,,,,,205
12/16/2021,,,,,,,213
12/17/2021,,,,,,,291
12/18/2021,,,,,,,232
12/19/2021,,,,,,,164
12/20/2021,,,,,,,133
12/21/2021,,,,,,,216
12/22/2021,,,,,,,179
12/23/2021,,,,,,,136
12/24/2021,,,,,,,204
12/25/2021,,,,,,,255
12/26/2021,,,,,,,0
12/27/2021,,,,,,,212
12/28/2021,,,,,,,278
12/29/2021,,,,,,,194
12/30/2021,,,,,,,189
12/31/2021,,,,,,,180
1/1/2022,,,,,,,274
1/2/2022,,,,,,,174
1/3/2022,,,,,,,265
1/4/2022,,,,,,,299
1/5/2022,,,,,,,404
1/6/2022,,,,,,,533
1/7/2022,,,,,,,518
1/8/2022,,,,,,,479
1/9/2022,,,,,,,529
1/10/2022,,,,,,,454
1/11/2022,,,,,,,802
1/12/2022,,,,,,,646
1/13/2022,,,,,,,793
1/14/2022,,,,,,,850
1/15/2022,,,,,,,1054
1/16/2022,,,,,,,855
1/17/2022,,,,,,,772
1/18/2022,,,,,,,1362
1/19/2022,,,,,,,1745
1/20/2022,,,,,,,2116
1/21/2022,,,,,,,2604
1/22/2022,,,,,,,3205
1/23/2022,,,,,,,2925
1/24/2022,,,,,,,2927
1/25/2022,,,,,,,4878
1/26/2022,,,,,,,7010
1/27/2022,,,,,,,8077
1/28/2022,,,,,,,9905
1/29/2022,,,,,,,11588
1/30/2022,,,,,,,12422
1/31/2022,,,,,,,10185
2/1/2022,,,,,,,16021
2/2/2022,,,,,,,17895
2/3/2022,,,,,,,27197
2/4/2022,,,,,,,32211
2/5/2022,,,,,,,33729
2/6/2022,,,,,,,36057
2/7/2022,,,,,,,26121
2/8/2022,,,,,,,37492
2/9/2022,,,,,,,46843
2/10/2022,,,,,,,40618
2/11/2022,,,,,,,40489
2/12/2022,,,,,,,55209
2/13/2022,,,,,,,44526
2/14/2022,,,,,,,36501
2/15/2022,,,,,,,57049
2/16/2022,,,,,,,64718
2/17/2022,,,,,,,63956
2/18/2022,,,,,,,59635
2/19/2022,,,,,,,59384
2/20/2022,,,,,,,48484
2/21/2022,,,,,,,34418
2/22/2022,,,,,,,57491
2/23/2022,,,,,,,61488
2/24/2022,,,,,,,57426
2/25/2022,,,,,,,49447
2/26/2022,,,,,,,46643
2/27/2022,,,,,,,34976
2/28/2022,,,,,,,25054
3/1/2022,,,,,,,24728
3/2/2022,,,,,,,40920
3/3/2022,,,,,,,37259
3/4/2022,,,,,,,26347
3/5/2022,,,,,,,30156
3/6/2022,,,,,,,24867
3/7/2022,,,,,,,21380
3/8/2022,,,,,,,30148
3/9/2022,,,,,,,26336
3/10/2022,,,,,,,21311
3/11/2022,,,,,,,16110
3/12/2022,,,,,,,14900
3/13/2022,,,,,,,11585
3/14/2022,,,,,,,9629
3/15/2022,,,,,,,14408
3/16/2022,,,,,,,13018
3/17/2022,,,,,,,11532
3/18/2022,,,,,,,9528
3/19/2022,,,,,,,7951
3/20/2022,,,,,,,5922
3/21/2022,,,,,,,4699
3/22/2022,,,,,,,7464
3/23/2022,,,,,,,6376
3/24/2022,,,,,,,5808
3/25/2022,,,,,,,0
3/26/2022,,,,,,,0
3/27/2022,,,,,,,9046
3/28/2022,,,,,,,5875
3/29/2022,,,,,,,3895
3/30/2022,,,,,,,3840
3/31/2022,,,,,,,3332
4/1/2022,,,,,,,2930
4/2/2022,,,,,,,0
4/3/2022,,,,,,,0
4/4/2022,,,,,,,0
4/5/2022,,,,,,,8176
4/6/2022,,,,,,,2400
4/7/2022,,,,,,,2089
4/8/2022,,,,,,,1755
4/9/2022,,,,,,,1468
4/10/2022,,,,,,,1071
4/11/2022,,,,,,,1196
4/12/2022,,,,,,,1455
4/13/2022,,,,,,,1551
4/14/2022,,,,,,,833
4/15/2022,,,,,,,922
4/16/2022,,,,,,,602
4/17/2022,,,,,,,607
4/18/2022,,,,,,,559
4/19/2022,,,,,,,837
4/20/2022,,,,,,,0
4/21/2022,,,,,,,1326
4/22/2022,,,,,,,651
4/23/2022,,,,,,,522
4/24/2022,,,,,,,382
4/25/2022,,,,,,,317
4/26/2022,,,,,,,576
4/27/2022,,,,,,,617
4/28/2022,,,,,,,412
4/29/2022,,,,,,,395
4/30/2022,,,,,,,329
5/1/2022,,,,,,,244
5/2/2022,,,,,,,168
5/3/2022,,,,,,,107
5/4/2022,,,,,,,176
5/5/2022,,,,,,,250
5/6/2022,,,,,,,245
5/7/2022,,,,,,,218
5/8/2022,,,,,,,227
5/9/2022,,,,,,,254
5/10/2022,,,,,,,0
5/11/2022,,,,,,,0
5/12/2022,,,,,,,1191
5/13/2022,,,,,,,335
5/14/2022,,,,,,,308
5/15/2022,,,,,,,257
5/16/2022,,,,,,,182
5/17/2022,,,,,,,247
5/18/2022,,,,,,,327
5/19/2022,,,,,,,318
5/20/2022,,,,,,,250
5/21/2022,,,,,,,263
5/22/2022,,,,,,,227
5/23/2022,,,,,,,174
5/24/2022,,,,,,,345
5/25/2022,,,,,,,315
5/26/2022,,,,,,,246
5/27/2022,,,,,,,224
5/28/2022,,,,,,,279
5/29/2022,,,,,,,242
5/30/2022,,,,,,,218
5/31/2022,,,,,,,340
6/1/2022,,,,,,,368
6/2/2022,,,,,,,304
6/3/2022,,,,,,,372
6/4/2022,,,,,,,395
6/5/2022,,,,,,,388
6/6/2022,,,,,,,342
6/7/2022,,,,,,,518
6/8/2022,,,,,,,520
6/9/2022,,,,,,,556
6/10/2022,,,,,,,627
6/11/2022,,,,,,,574
6/12/2022,,,,,,,551
6/13/2022,,,,,,,591
6/14/2022,,,,,,,930
6/15/2022,,,,,,,1242
6/16/2022,,,,,,,1173
6/17/2022,,,,,,,1220
6/18/2022,,,,,,,1264
6/19/2022,,,,,,,1167
6/20/2022,,,,,,,1180
6/21/2022,,,,,,,1678
6/22/2022,,,,,,,1985
6/23/2022,,,,,,,1907
6/24/2022,,,,,,,2069
6/25/2022,,,,,,,1831
